"horizonte","colones","dolares","tipo_cambio","total_colones"
0,166112656.441243,85601.4048204222,504.44,209293429.088856
2.5,190196073.228155,93335.9458131404,524.872332740748,239185528.835662
10,329034216.112005,125019.622242518,680.018546724306,414049877.941384
15,490475750.868701,157208.830610692,804.321268654034,616922156.94911
