"horizonte","mean_col","sd_col","mean_dol","sd_dol"
2.5,14243564.7871877,4197317.42701735,42606.213288362,5525.7418830815
10,20040976.4763556,12280137.5712969,72021.0838801417,21497.5166002965
15,39241500.8480541,31176460.3125699,99834.7771923691,51312.3307190185
