"horizonte","colones","dolares","tipo_cambio","total_colones","VaR_95_val","CVaR_95_val","VaR_30_val","CVaR_30_val"
0,166112656.441243,85601.4048204222,504.44,209293429.088856,NA,NA,NA,NA
2.5,190196073.228155,93335.9458131404,524.872332740748,239185528.835662,225855297.238868,222796228.029771,243265364.874921,249486015.411235
10,329034216.112005,125019.622242518,680.018546724306,414049877.941384,380102063.551285,374429636.158672,423326079.743767,445682332.205849
15,490475750.868701,157208.830610692,804.321268654034,616922156.94911,525045694.793417,506771610.401529,643476816.598566,694800524.88996
