"horizonte","colones","dolares","tipo_cambio","total_colones","VaR_95_val","CVaR_95_val","VaR_30_val","CVaR_30_val"
0,166112656.441243,85601.4048204222,504.44,209293429.088856,NA,NA,NA,NA
5,224593851.661224,101988.042233597,567.198202014758,282441285.843125,264903172.212772,261364541.730593,287501532.564092,297111294.412198
