"horizonte","colones","dolares","tipo_cambio","total_colones","VaR_95","CVaR_95","VaR_30","CVaR_30"
0,166112656.441243,85601.4048204222,504.44,209293429.088856,NA,NA,NA,NA
5,224593851.661224,101988.042233597,567.198202014758,282441285.843125,17538113.6303532,21076744.1125319,-5060246.72096685,-14670008.5690731
